id,weight,payoutMultiplier
252,33,0.4
253,32,0
254,1,79.44
255,33,0
256,32,0
257,1,2.24
258,33,0
259,32,0.11
260,33,0
261,1,292.65
262,32,0
263,33,0
264,32,0
265,33,0.2
266,1,14.2
267,32,0
268,33,0.8
269,32,0
270,33,0
271,32,0.08
272,33,0.26
273,32,0.18
274,33,0.06
275,33,0.06
276,32,0
277,33,0
278,1,1.28
279,32,0
280,1,86.73
281,33,0.8
282,32,0.08
283,33,0
284,1,0.98
285,1,2.09
286,32,0.08
287,1,148.36
288,1,1168.99
289,1,413.9
290,33,0
291,32,0.48
292,1,1327.13
293,33,0.64
294,32,0
295,33,0
296,32,0
297,1,2.4
298,33,0
299,32,0
300,33,0
301,1,1.06
302,32,0
303,1,287.18
304,33,0.26
305,32,0
306,1,531.88
307,33,0
308,32,0.08
309,33,0
310,1,8.61
311,32,0
312,33,0
313,32,0
314,33,0
315,1,131.81
316,1,52.79
317,32,0
318,33,0.72
319,32,0
320,33,0.96
321,32,0.6
322,33,0
323,32,0.4
324,1,645.53
325,1,2.56
326,33,0
327,32,0
328,1,656
329,33,0
330,32,0
331,1,142.54
332,33,0.24
333,32,0.1
334,1,77.49
335,33,0
336,32,0
337,33,0
338,32,0.18
339,33,0.08
340,33,0.24
341,1,1.44
342,32,0
343,33,0.14
344,1,1.92
345,1,1.16
346,32,0
347,33,0
348,32,0
349,33,0.18
350,32,0.13
351,33,0.26
352,32,0.6
353,33,0
354,32,0
355,33,0
356,32,0
357,33,0
358,32,0.74
359,33,0
360,32,0
361,33,0.46
362,32,0
363,33,0
364,32,0
365,33,0
366,1,3.52
367,1,1.24
368,32,0.3
369,33,0.2
370,32,0.12
371,33,0.06
372,1,139.35
373,32,0
374,33,0.4
375,32,0
376,33,0
377,1,1.2
378,1,12
379,32,0
380,33,0
381,32,0.3
382,33,0
383,1,6.5
384,1,66.72
385,32,0.22
386,33,0.2
387,32,0
388,33,0
389,32,0
390,1,150.79
391,33,0
392,32,0
393,1,1.25
394,33,0.86
395,33,0.46
396,32,0.56
397,33,0
398,32,0
399,33,0
400,32,0.9
401,1,2.08
402,33,0.3
403,32,0
404,33,0
405,32,0
406,1,623.77
407,33,0
408,32,0
409,33,0.22
410,32,0
411,33,0.25
412,32,0
413,33,0.13
414,32,0
415,33,0.16
416,32,0.24
417,33,0
418,1,2.4
419,32,0
420,33,0
421,1,1.28
422,32,0.1
423,33,0
424,32,0.08
425,33,0
426,32,0
427,33,0
428,32,0.09
429,33,0
430,32,0
431,1,1.18
432,33,0.12
433,32,0
434,1,86.09
435,1,1.96
436,33,0
437,32,0
438,33,0
439,1,1.42
440,32,0
441,33,0.06
442,32,0.2
443,33,0.28
444,32,0.32
445,33,0
446,1,2.72
447,33,0.8
448,32,0.11
449,33,0.17
450,32,0
451,33,0
452,32,0
453,33,0.44
454,32,0
455,33,0
456,32,0.2
457,33,0.34
458,32,0.56
459,33,0
460,32,0
461,33,0
462,32,0
463,1,304.81
464,1,1
465,33,0.36
466,32,0.38
467,33,0.56
468,32,0
469,1,1.19
470,33,0.91
471,32,0
472,33,0.08
473,32,0
474,33,0.8
475,32,0
476,1,6.17
477,33,0
478,32,0.84
479,33,0.53
480,32,0
481,1,1.36
482,33,0
483,32,0
484,33,0.08
485,1,249.77
486,1,85.62
487,32,0
488,33,0
489,32,0
490,33,0.19
491,32,0
492,1,1.29
493,33,0
494,32,0.2
495,33,0.62
496,1,2.23
497,32,0
498,1,43.52
499,33,0.56
500,32,0
501,33,0
502,33,0
503,1,412.71
504,32,0.11
505,33,0.5
506,32,0
507,33,0.38
508,32,0
509,1,1.6
510,33,0
511,1,1.12
512,32,0
513,1,5.76
514,33,0.14
515,1,7.12
516,32,0
517,33,0
518,32,0
519,33,0
520,1,1.26
521,32,0.16
522,33,0
523,32,0.18
524,33,0
525,32,0.2
526,1,62.85
527,33,0.32
528,32,0.16
529,33,0
530,1,2
531,32,0
532,33,0
533,1,3
534,32,0.34
535,33,0
536,32,0
537,33,0.29
538,32,0.08
539,33,0
540,1,2
541,1,1.6
542,1,3.68
543,32,0.1
544,33,0
545,32,0.8
546,33,0
547,32,0.4
548,33,0
549,32,0
550,33,0
551,32,0.36
552,33,0.14
553,32,0
554,33,0
555,32,0.22
556,1,85.12
557,33,0
558,33,0.06
559,1,1.2
560,32,0.3
561,33,0.4
562,32,0.8
563,33,0
564,32,0
565,1,1.2
566,33,0
567,32,0
568,33,0
569,32,0
570,33,0
571,1,1.8
572,32,0
573,33,0
574,1,143.19
575,32,0
576,33,0.61
577,32,0.29
578,33,0
579,1,0.98
580,32,0.12
581,1,70.08
582,33,0.1
583,32,0.1
584,33,0
585,32,0.36
586,33,0.79
587,1,635.46
588,32,0
589,33,0
590,32,0.18
591,1,1.6
592,33,0
593,32,0
594,33,0
595,32,0
596,33,0
597,1,439.53
598,1,2.4
599,32,0
600,33,0.17
601,32,0.24
602,1,126.47
603,33,0.16
604,32,0
605,33,0
606,32,0
607,33,0
608,32,0
609,33,0.26
610,32,0.18
611,33,0
612,32,0
613,33,0
614,33,0
615,32,0
616,33,0
617,32,0.53
618,33,0.07
619,1,2.31
620,32,0
621,33,0.07
622,32,0.24
623,33,0
624,32,0
625,33,0
626,1,1.12
627,32,0
628,33,0.33
629,1,105.34
630,32,0
631,33,0.26
632,32,0
633,1,277.41
634,33,0
635,32,0
636,1,2.24
637,33,0.4
638,1,199.3
639,1,260.99
640,32,0
641,33,0
642,32,0
643,33,0
644,1,1.12
645,1,2.58
646,32,0.1
647,33,0.48
648,32,0
649,1,45.99
650,33,0
651,32,0
652,33,0
653,1,87.35
654,32,0.08
655,33,0
656,32,0
657,33,0.8
658,32,0
659,33,0
660,1,74.46
661,32,0
662,33,0.4
663,32,0
664,33,0
665,32,0.59
666,33,0
667,1,714.17
668,32,0
669,33,0
670,1,2.4
671,33,0
672,32,0
673,33,0
674,32,0
675,33,0.21
676,1,1.76
677,32,0
678,33,0.6
679,32,0.4
680,33,0
681,1,1.12
682,32,0.77
683,33,0.8
684,32,0
685,33,0
686,32,0
687,33,0
688,32,0.42
689,33,0
690,1,1.6
691,32,0
692,33,0.76
693,32,0
694,33,0.6
695,32,0.69
696,1,389.16
697,1,1.4
698,33,0
699,32,0.19
700,33,0
701,32,0
702,33,0
703,32,0.48
704,33,0
705,32,0.19
706,33,0
707,32,0
708,1,59.63
709,33,0
710,32,0.14
711,33,0.14
712,32,0.07
713,33,0
714,32,0
715,33,0.3
716,32,0.17
717,33,0.25
718,32,0
719,1,3.94
720,33,0
721,1,1.28
722,33,0
723,32,0
724,33,0
725,32,0
726,33,0.18
727,32,0
728,33,0.16
729,32,0
730,33,0
731,32,0.09
732,33,0.19
733,1,6.26
734,32,0.22
735,33,0
736,1,192.38
737,1,26.93
738,32,0.26
739,33,0
740,32,0
741,33,0
742,32,0
743,1,4.62
744,1,1.92
745,33,0.48
746,32,0
747,1,11.72
748,1,2
749,33,0.16
750,32,0.84
751,33,0
752,32,0
753,33,0.58
754,32,0.82
755,33,0.36
756,32,0
757,33,0
758,32,0.64
759,1,1.28
760,1,90.4
761,33,0
762,32,0.07
763,33,0
764,32,0.56
765,33,0.25
766,32,0.16
767,33,0
768,1,36.54
769,1,371.6
770,32,0.43
771,33,0
772,1,2.56
773,32,0
774,33,0
775,1,2.4
776,32,0
777,33,0
778,32,0
779,1,3
780,33,0
781,1,6.76
782,1,61.71
783,33,0.96
784,32,0
785,33,0
786,32,0
787,33,0.08
788,32,0.24
789,33,0
790,1,1
791,32,0
792,33,0.25
793,32,0
794,33,0.4
795,32,0
796,33,0
797,32,0
798,33,0
799,1,30.71
800,1,3.96
801,32,0
802,33,0.16
803,32,0
804,33,0
805,32,0.4
806,1,36.4
807,33,0
808,32,0.08
809,33,0
810,32,0
811,1,96.16
812,1,2.36
813,33,0
814,32,0
815,33,0.36
816,32,0
817,1,1.69
818,33,0.08
819,32,0
820,33,0
821,32,0
822,33,0
823,32,0
824,1,1.76
825,33,0.96
826,1,497.05
827,32,0.4
828,33,0
829,32,0
830,33,0.08
831,32,0
832,33,0.36
833,32,0
834,1,1.2
835,33,0
836,1,3.12
837,33,0.8
838,1,5.5
839,1,2.89
840,1,1.32
841,32,0.22
842,33,0.96
843,1,240.57
844,32,0
845,33,0.29
846,32,0.14
847,33,0.32
848,32,0
849,33,0.2
850,1,4.94
851,1,1
852,32,0
853,1,297.61
854,33,0
855,32,0
856,33,0
857,32,0
858,1,5.12
859,33,0.12
860,1,5.79
861,1,1.82
862,1,43.63
863,32,0
864,33,0
865,32,0
866,33,0.86
867,32,0
868,33,0
869,32,0.28
870,33,0
871,32,0
872,33,0
873,32,0.8
874,33,0.08
875,32,0
876,1,1.2
877,33,0.8
878,32,0
879,1,1.25
880,33,0.36
881,32,0
882,1,8.96
883,1,3.2
884,33,0
885,32,0.88
886,33,0
887,32,0
888,1,1.4
889,33,0
890,32,0
891,33,0
892,32,0
893,33,0.26
894,32,0
895,33,0.07
896,1,1274.71
897,33,0
898,32,0.8
899,33,0.16
900,32,0.7
901,33,0.93
902,32,0
903,33,0
904,32,0.32
905,33,0
906,32,0
907,1,3.5
908,33,0
909,32,0.18
910,33,0
911,32,0
912,33,0.13
913,32,0.08
914,1,2.42
915,1,1.68
916,33,0
917,32,0.47
918,33,0.09
919,32,0
920,1,4.3
921,1,82.69
922,33,0
923,1,1.3
924,1,26.88
925,32,0
926,33,0
927,32,0
928,33,0.5
929,32,0.21
930,33,0.06
931,32,0
932,33,0
933,1,518.13
934,32,0.07
935,33,0
936,32,0.34
937,33,0
938,32,0
939,33,0.14
940,32,0.08
941,33,0.12
942,32,0.16
943,1,283.07
944,33,0.46
945,32,0
946,33,0.1
947,1,656.47
948,1,3.2
949,32,0.18
950,33,0
951,32,0.32
952,33,0
953,33,0.19
954,32,0
955,33,0.13
956,32,0.16
957,1,13.96
958,33,0.17
959,32,0
960,33,0
961,32,0.56
962,1,568.38
963,33,0
964,32,0.38
965,33,0.07
966,1,1.6
967,32,0
968,1,1.97
969,33,0
970,32,0.36
971,33,0.08
972,32,0
973,33,0.24
974,32,0
975,1,125.16
976,33,0
977,32,0
978,1,0.97
979,1,97.16
980,1,1.4
981,1,746.49
982,33,0
983,32,0
984,33,0
985,32,0
986,1,5.78
987,1,1367.71
988,33,0
989,32,0
990,33,0
991,32,0
992,33,0.29
993,32,0
994,33,0.06
995,32,0
996,33,0.4
997,32,0
998,33,0.48
999,32,0
1000,33,0.92
1001,32,0.35
1002,33,0.6
1003,32,0
1004,33,0.07
1005,32,0.2
1006,1,1.44
1007,33,0.1
1008,33,0
1009,32,0
1010,33,0.36
1011,32,0.44
1012,33,0.32
1013,1,49.95
1014,32,0
1015,33,0
1016,32,0.6
1017,33,0.29
1018,32,0
1019,1,48.61
1020,1,391.26
1021,1,1.04
1022,1,722.69
1023,33,0
1024,32,0.14
1025,33,0.4
1026,32,0.8
1027,33,0
1028,32,0
1029,1,123.7
1030,1,118.84
1031,33,0
1032,32,0.24
1033,33,0.07
1034,32,0
1035,1,1.2
1036,1,84.69
1037,1,1.3
1038,33,0.19
1039,1,3.84
1040,32,0.16
1041,33,0.13
1042,32,0.48
1043,1,3.28
1044,33,0
1045,32,0
1046,33,0
1047,1,26.93
1048,32,0
1049,1,484.4
1050,1,9.63
1051,33,0
1052,32,0
1053,33,0.16
1054,32,0.19
1055,33,0
1056,32,0
1057,33,0
1058,32,0
1059,33,0.43
1060,32,0.36
1061,1,34.19
1062,33,0
1063,32,0.18
1064,1,2.86
1065,1,16.8
1066,33,0.06
1067,32,0.24
1068,33,0.21
1069,32,0
1070,1,0.98
1071,33,0
1072,33,0
1073,32,0
1074,33,0
1075,32,0
1076,33,0
1077,32,0
1078,33,0.44
1079,32,0
1080,33,0
1081,32,0.2
1082,33,0
1083,32,0.29
1084,33,0
1085,32,0
1086,33,0.32
1087,32,0.7
1088,33,0
1089,32,0
1090,33,0
1091,32,0.24
1092,33,0
1093,1,113.29
1094,32,0
1095,33,0
1096,1,1.3
1097,1,209.34
1098,1,1.92
1099,1,655.26
1100,32,0
1101,1,1
1102,1,2.48
1103,33,0
1104,32,0
1105,33,0
1106,1,69.62
1107,32,0.1
1108,33,0
1109,32,0
1110,33,0
1111,32,0.25
1112,33,0.64
1113,32,0
1114,1,284
1115,33,0
1116,32,0.14
1117,33,0.56
1118,32,0
1119,33,0
1120,32,0.5
1121,33,0.84
1122,32,0.16
1123,33,0.29
1124,33,0
1125,32,0.19
1126,33,0
1127,32,0
1128,33,0
1129,32,0.16
1130,33,0
1131,32,0.22
1132,33,0
1133,1,1.9
1134,32,0
1135,33,0.3
1136,32,0.48
1137,33,0.6
1138,32,0.21
1139,1,1.4
1140,33,0
1141,32,0
1142,33,0
1143,32,0.3
1144,1,2.08
1145,1,1.32
1146,33,0
1147,1,1.2
1148,32,0
1149,1,1.26
1150,33,0.36
1151,32,0.13
1152,33,0
1153,32,0
1154,33,0.12
1155,32,0
1156,1,457.93
1157,33,0
1158,32,0
1159,33,0.35
1160,32,0
1161,1,1.33
1162,33,0
1163,32,0
1164,33,0.86
1165,32,0
1166,1,8.52
1167,1,1
1168,33,0
1169,32,0.18
1170,33,0
1171,32,0
1172,33,0
1173,1,1.6
1174,32,0
1175,33,0
1176,32,0
1177,33,0
1178,33,0
1179,32,0.18
1180,33,0.29
1181,32,0.2
1182,1,2.02
1183,33,0
1184,32,0.32
1185,1,17.68
1186,1,4
1187,1,1.2
1188,33,0
1189,32,0
1190,1,413.59
1191,1,1
1192,33,0.25
1193,32,0
1194,33,0
1195,1,31.22
1196,32,0
1197,33,0
1198,32,0
1199,33,0
1200,32,0
1201,1,3.16
1202,1,4.32
1203,1,6
1204,33,0.48
1205,32,0
1206,1,2.13
1207,33,0
1208,1,4.32
1209,1,2.02
1210,32,0.18
1211,33,0.16
1212,32,0
1213,33,0.16
1214,32,0
1215,33,0.24
1216,32,0
1217,33,0.5
1218,32,0
1219,33,0
1220,32,0
1221,1,133.2
1222,33,0
1223,32,0.17
1224,33,0.5
1225,1,177.71
1226,32,0
1227,33,0
1228,32,0
1229,33,0.2
1230,32,0.5
1231,33,0.42
1232,1,31.96
1233,32,0
1234,33,0
1235,1,2.64
1236,32,0.12
1237,33,0.24
1238,32,0
1239,1,59.54
1240,1,1.42
1241,33,0
1242,33,0
1243,32,0
1244,1,1.74
1245,1,1.4
1246,33,0
1247,1,5.6
1248,32,0
1249,33,0
1250,1,65.63
1251,32,0.4
1252,33,0.4
1253,32,0
1254,33,0
1255,32,0.12
1256,33,0
1257,32,0
1258,33,0.26
1259,32,0
1260,33,0
1261,1,125.28
1262,32,0
1263,33,0.68
1264,32,0
1265,33,0
1266,32,0.2
1267,1,1.02
1268,1,1.5
1269,1,1.44
1270,1,1.4
1271,33,0
1272,32,0
1273,33,0.2
1274,32,0
1275,33,0
1276,32,0.2
1277,33,0
1278,32,0
1279,33,0.3
1280,32,0
1281,33,0.2
1282,32,0.08
1283,33,0.14
1284,1,1.43
1285,1,1.19
1286,32,0.14
1287,33,0.86
1288,1,243.65
1289,32,0
1290,33,0.48
1291,1,418.27
1292,32,0
1293,33,0.62
1294,32,0
1295,33,0.14
1296,32,0.26
1297,33,0.12
1298,33,0.47
1299,32,0.16
1300,1,1.26
1301,1,128.35
1302,1,455.91
1303,33,0.32
1304,32,0
1305,33,0
1306,1,1.06
1307,32,0.96
1308,1,89.29
1309,1,1.4
1310,33,0
1311,32,0
1312,33,0.4
1313,32,0.56
1314,33,0
1315,1,1.44
1316,1,195.18
1317,32,0
1318,33,0
1319,32,0.68
1320,33,0
1321,32,0
1322,33,0.14
1323,32,0
1324,1,2.44
1325,33,0
1326,32,0
1327,1,6
1328,33,0
1329,1,1.06
1330,32,0.14
1331,33,0.39
1332,1,2.16
1333,32,0
1334,33,0.18
1335,32,0.88
1336,33,0.5
1337,32,0
1338,33,0.59
1339,32,0
1340,1,30.02
1341,33,0
1342,32,0.14
1343,33,0
1344,1,185.74
1345,1,8.8
1346,32,0
1347,33,0
1348,32,0
1349,1,1.06
1350,33,0
1351,32,0.25
1352,33,0
1353,32,0
1354,33,0
1355,32,0
1356,33,0
1357,33,0
1358,32,0.3
1359,33,0
1360,32,0
1361,1,459.89
1362,33,0.96
1363,1,3.52
1364,32,0.24
1365,1,4.48
1366,33,0.06
1367,32,0
1368,1,1.12
1369,33,0
1370,32,0
1371,33,0.24
1372,32,0.21
1373,33,0
1374,32,0.35
1375,33,0.43
1376,32,0.43
1377,1,1.2
1378,33,0
1379,1,69.37
1380,32,0.14
1381,33,0
1382,32,0
1383,1,19.8
1384,33,0.4
1385,32,0
1386,33,0
1387,1,13.15
1388,1,137.41
1389,32,0
1390,33,0.24
1391,1,1.52
1392,32,0.12
1393,33,0
1394,32,0
1395,33,0.4
1396,1,2.02
1397,32,0.94
1398,33,0
1399,32,0
1400,33,0
1401,1,191.78
1402,1,2.9
1403,32,0.59
1404,33,0.96
1405,1,253.13
1406,32,0.09
1407,33,0.14
1408,32,0
1409,33,0
1410,32,0.96
1411,33,0
1412,32,0
1413,33,0
1414,32,0
1415,33,0.5
1416,1,73.84
1417,1,15.71
1418,33,0.2
1419,32,0
1420,33,0.83
1421,32,0
1422,33,0
1423,1,1.12
1424,32,0
1425,1,1.6
1426,33,0.13
1427,32,0
1428,1,1.6
1429,33,0.1
1430,32,0
1431,33,0.58
1432,32,0.2
1433,33,0.06
1434,32,0.5
1435,33,0
1436,32,0.17
1437,33,0
1438,32,0
1439,33,0.13
1440,32,0.19
1441,33,0
1442,32,0
1443,33,0.6
1444,32,0.35
1445,33,0
1446,32,0
1447,33,0
1448,32,0
1449,33,0
1450,32,0
1451,33,0.64
1452,32,0.24
1453,33,0.18
1454,32,0
1455,33,0
1456,32,0
1457,1,1
1458,33,0
1459,1,33.13
1460,32,0
1461,33,0.08
1462,32,0
1463,33,0.67
1464,32,0
1465,1,193.55
1466,33,0
1467,1,150.84
1468,33,0
1469,32,0.5
1470,33,0.13
1471,32,0
1472,33,0.08
1473,1,1.68
1474,32,0
1475,33,0.12
1476,1,2.27
1477,1,275.23
1478,1,1.4
1479,32,0
1480,33,0.9
1481,32,0
1482,33,0
1483,32,0.77
1484,33,0
1485,32,0.24
1486,33,0
1487,32,0.14
1488,33,0.4
1489,32,0
1490,33,0.28
1491,32,0.25
1492,33,0
1493,32,0
1494,33,0
1495,1,1.12
1496,32,0
1497,33,0.4
1498,32,0
1499,33,0.19
1500,32,0
1501,33,0.6
1502,1,282.62
1503,1,239.85
1504,32,0.1
1505,33,0.25
1506,32,0
1507,33,0
1508,32,0
1509,33,0
1510,32,0.56
1511,1,1.56
1512,1,397.28
1513,33,0
1514,32,0.22
1515,33,0
1516,32,0
1517,33,0
1518,32,0
1519,33,0.06
1520,1,3.96
1521,33,0
1522,32,0
1523,33,0.14
1524,32,0
1525,33,0
1526,32,0.55
1527,33,0.18
1528,32,0
1529,1,508.59
1530,33,0
1531,32,0
1532,33,0.14
1533,32,0
1534,33,0
1535,32,0
1536,33,0
1537,32,0
1538,33,0
1539,32,0
1540,1,13.82
1541,1,1.76
1542,1,23.2
1543,33,0
1544,32,0.16
1545,33,0
1546,32,0.55
1547,33,0.24
1548,32,0.96
1549,1,192.88
1550,33,0.36
1551,32,0
1552,33,0.1
1553,1,2.24
1554,32,0.48
1555,33,0.65
1556,32,0
1557,1,5.49
1558,1,492.43
1559,33,0
1560,1,1.86
1561,32,0
1562,33,0.2
1563,1,30.19
1564,32,0
1565,33,0
1566,1,2.88
1567,32,0
1568,33,0.16
1569,1,1
1570,32,0.24
1571,33,0.07
1572,32,0.19
1573,33,0
1574,32,0
1575,33,0
1576,1,1.57
1577,32,0.24
1578,33,0
1579,1,1.51
1580,1,187.43
1581,33,0.07
1582,1,72.13
1583,32,0
1584,33,0
1585,32,0
1586,33,0
1587,1,709.66
1588,32,0.25
1589,33,0.34
1590,32,0
1591,33,0.13
1592,32,0.35
1593,33,0.1
1594,32,0.13
1595,33,0
1596,32,0
1597,1,1.37
1598,1,89.21
1599,33,0.28
1600,32,0
1601,33,0.8
1602,32,0
1603,1,6.91
1604,33,0
1605,32,0
1606,33,0.7
1607,32,0
1608,33,0.08
1609,32,0
1610,33,0.24
1611,32,0
1612,33,0.6
1613,32,0.4
1614,33,0
1615,32,0.39
1616,33,0
1617,1,61.19
1618,1,137.28
1619,1,550.57
1620,32,0
1621,33,0
1622,32,0.16
1623,33,0
1624,32,0
1625,33,0
1626,1,1.44
1627,32,0
1628,1,490.99
1629,33,0
1630,32,0.52
1631,33,0
1632,32,0
1633,33,0
1634,33,0
1635,32,0.26
1636,33,0.06
1637,32,0
1638,33,0
1639,32,0
1640,1,1.89
1641,1,11.42
1642,33,0
1643,32,0
1644,1,3.2
1645,33,0
1646,32,0
1647,33,0.8
1648,32,0.6
1649,33,0.22
1650,32,0
1651,33,0
1652,32,0
1653,33,0
1654,1,53.86
1655,32,0
1656,33,0
1657,1,1.08
1658,32,0
1659,33,0.8
1660,32,0
1661,33,0.17
1662,1,116.95
1663,1,1.92
1664,1,110.12
1665,32,0.08
1666,33,0.8
1667,32,0.56
1668,1,110.08
1669,33,0
1670,32,0.06
1671,33,0.21
1672,32,0
1673,33,0.56
1674,1,4.98
1675,32,0.06
1676,33,0
1677,32,0.8
1678,33,0.07
1679,32,0.55
1680,33,0.5
1681,1,3.36
1682,32,0.1
1683,33,0.67
1684,32,0.32
1685,33,0.08
1686,32,0
1687,33,0
1688,32,0
1689,33,0
1690,1,88.9
1691,33,0.8
1692,32,0.16
1693,1,3.36
1694,33,0.08
1695,32,0
1696,33,0
1697,1,45.3
1698,32,0
1699,33,0
1700,32,0.24
1701,33,0
1702,32,0
1703,33,0
1704,1,59.63
1705,32,0.32
1706,33,0.5
1707,32,0.06
1708,33,0
1709,1,1.92
1710,32,0
1711,1,174.41
1712,1,62.67
1713,33,0
1714,32,0
1715,33,0.13
1716,1,59.37
1717,32,0
1718,33,0
1719,1,49.97
1720,32,0.79
1721,1,18
1722,33,0.96
1723,32,0.26
1724,33,0
1725,32,0
1726,1,257.78
1727,33,0
1728,32,0
1729,33,0.48
1730,32,0.16
1731,33,0.96
1732,32,0
1733,1,199.33
1734,33,0.29
1735,32,0.72
1736,33,0
1737,32,0
1738,33,0
1739,32,0.38
1740,1,1.84
1741,33,0
1742,32,0.16
1743,33,0
1744,32,0.3
1745,1,1
1746,33,0
1747,33,0
1748,1,280.13
1749,32,0
1750,1,3.2
1751,33,0
1752,32,0.16
1753,33,0.13
1754,32,0
1755,33,0
1756,32,0
1757,33,0.46
1758,32,0
1759,1,1.32
1760,33,0
1761,32,0.48
1762,1,1.78
1763,33,0.8
1764,32,0.18
1765,33,0
1766,32,0.96
1767,1,2.8
1768,33,0
1769,1,2.4
1770,32,0
1771,1,1.23
1772,33,0
1773,32,0.64
1774,33,0.2
1775,32,0.6
1776,33,0
1777,32,0.18
1778,1,1.6
1779,33,0
1780,32,0
1781,33,0
1782,32,0
1783,33,0
1784,32,0
1785,33,0.36
1786,1,518.21
1787,32,0.38
1788,33,0
1789,32,0.11
1790,33,0.24
1791,32,0
1792,33,0
1793,1,13.21
1794,32,0.48
1795,1,1.08
1796,33,0
1797,32,0
1798,33,0
1799,32,0
1800,33,0
1801,33,0.1
1802,32,0
1803,1,1.28
1804,33,0.46
1805,32,0.48
1806,1,44.36
1807,33,0.66
1808,1,42.53
1809,32,0.12
1810,33,0
1811,32,0
1812,33,0.3
1813,32,0.93
1814,33,0.32
1815,32,0.4
1816,33,0
1817,32,0
1818,33,0.12
1819,32,0.11
1820,33,0
1821,1,7.2
1822,32,0.21
1823,33,0.07
1824,32,0.47
1825,33,0.29
1826,1,2.54
1827,32,0.33
1828,1,331.52
1829,1,1.6
1830,33,0
1831,1,34.12
1832,32,0
1833,33,0
1834,32,0
1835,1,471.66
1836,1,2.21
1837,33,0.09
1838,32,0
1839,33,0.27
1840,32,0.62
1841,33,0.11
1842,32,0
1843,33,0
1844,32,0
1845,33,0
1846,32,0.16
1847,33,0
1848,32,0
1849,33,0.12
1850,1,34.62
1851,1,85.46
1852,32,0.56
1853,33,0.4
1854,1,1.12
1855,32,0.08
1856,33,0
